minionsKilled,role,overallPositionChange,assists,deaths,key,overallPosition,title,totalDamageDealtToChampions,winPercent,kills,neutralMinionsKilledTeamJungle,experience,banRate,largestKillingSpree,goldEarned,totalDamageTaken,playPercent,neutralMinionsKilledEnemyJungle,totalHeal
43.5,Jungle,1,11.92,5.48,Amumu,6,Amumu,17219,54.1,5.27,66.95,55.94,2.24,2.59,12078,32303,7.41,8.13,6809
46.6,Jungle,0,9.69,5.84,Hecarim,4,Hecarim,17903,50.39,7.27,66.51,31.63,55.05,3.44,12443,39688,7.31,8.98,12462
57.6,Jungle,8,7.04,7.48,Twitch,35,Twitch,22009,49.63,9.19,65.16,48.1,0.81,3.7,13101,24890,1.21,8.43,5473
65.6,Jungle,-4,5.45,7.26,MasterYi,17,Master Yi,19086,47.94,8.98,73.38,114.72,2.74,3.71,13476,30782,7.89,11.42,7433
52.3,Jungle,-4,7.59,6.92,Fizz,43,Fizz,19025,46.29,8.52,60.11,52.36,14.6,3.55,12657,27072,1.6,7.93,5464
51.1,Jungle,-5,6.7,6.82,Rengar,15,Rengar,18461,48.05,8.64,72.47,104.89,5.96,3.69,13131,29600,8.15,11.35,9339
43.1,Jungle,1,12.34,4.55,Zac,2,Zac,17341,51.73,5.61,63.74,63.84,8.09,3.08,11932,40638,8.96,7.82,31199
55.1,Jungle,4,6.86,6.38,Jax,13,Jax,17288,52.26,7.48,66.54,67.33,3.85,3.29,12845,29650,3.41,10.99,7305
72.4,Jungle,0,7.64,5.99,Graves,5,Graves,22067,50.87,7.62,73.05,46.66,3.15,3.52,13308,25712,8.3,12.02,6487
167.1,Middle,5,7.26,7.62,Talon,28,Talon,23822,50.84,9.32,6.72,114.1,0.14,3.74,13054,24186,1.99,2.48,2075
196.8,Middle,-2,8.48,6.1,Ziggs,19,Ziggs,29373,50.63,6.84,9.9,53.91,0.03,3.18,13191,17552,2.42,2.45,1897
182.6,Middle,-7,7.61,6.54,Jayce,30,Jayce,25765,49.06,8.19,8.64,95.62,0.09,3.69,13001,21479,0.81,3.02,1901
169.2,Middle,-25,8.44,6.69,TwistedFate,46,Twisted Fate,21317,47.82,6.6,8.03,68.08,0.13,3.03,12900,20408,2.43,2.03,2644
196.3,ADC,3,8.59,6.71,Varus,13,Varus,24900,49.65,7.75,8.25,34.29,0.03,3.4,13477,19475,1.45,2.75,2986
202.8,ADC,0,7.49,6.73,KogMaw,2,Kog'Maw,27619,53.78,8.9,12.15,27.3,1.53,3.85,14082,20233,3.68,3.08,3491
185.3,ADC,-1,7.02,6.71,Twitch,9,Twitch,23938,51.15,9.19,10.02,43.27,0.81,3.95,13513,20463,6.17,3.06,3010
202,ADC,0,6.69,5.87,Tristana,11,Tristana,21856,50.05,7.92,9.97,50.72,0.09,3.66,13490,20483,9.48,3.21,3025
205.7,ADC,3,7.83,6.31,Caitlyn,7,Caitlyn,24059,50.08,6.66,9.43,47.87,1.52,3.09,13321,19604,17.88,2.94,2725
187.7,ADC,0,6.25,6.79,Vayne,15,Vayne,21393,46.88,7.77,8.55,105.85,4.59,3.36,13035,22501,17.7,2.71,3530
194.7,ADC,0,8.71,5.59,Ezreal,5,Ezreal,26537,48,7.42,7.55,69.37,0.34,3.55,13239,19770,17.79,2.64,3218
204.1,ADC,-1,7.13,6.02,Lucian,8,Lucian,22173,46.87,7.84,8.82,69.34,1.02,3.63,13437,21806,25.56,2.62,3426
47.8,Support,0,13.18,7.21,Nunu,26,Nunu,9528,35.72,2.24,4.11,7.53,0.07,0.85,10118,28831,0.16,1.7,5238
53.6,Support,1,11.27,6.57,Poppy,24,Poppy,10778,42.58,2.76,1.74,115.78,0.09,1.12,10224,26059,0.28,0.79,3200
53.8,Support,1,14.29,5.13,Trundle,10,Trundle,7641,50.65,2.09,1.48,46.21,1.17,0.83,10123,32102,0.73,0.5,11635
18.7,Support,0,14.99,6.19,Sona,1,Sona,12605,53.83,2.6,0.42,84.49,6.69,1.05,10300,18490,10.88,0.33,11248
15.3,Support,0,15.94,5.4,Soraka,3,Soraka,5187,54.76,0.74,0.24,118.11,10.46,0.17,9555,15044,11.36,0.16,23756
14.1,Support,0,15.77,4.38,Janna,2,Janna,4726,53.5,0.87,0.09,100.83,1.04,0.25,9604,16532,17.36,0.11,6893
163.1,Top,-1,5.63,7.51,XinZhao,54,Xin Zhao,21230,48.71,7.08,6.14,60.32,0.28,2.98,12400,31553,0.59,3.36,7513
190.8,Top,-12,9.69,6.11,Sion,31,Sion,20819,51.58,4.99,2.53,79.2,0.07,2.26,12476,34766,1.99,1.59,15802
165.7,Top,-2,8.53,5.61,TahmKench,46,Tahm Kench,19009,47.47,5.53,2.89,41.21,0.99,2.71,11943,35581,0.95,1.77,7288
187.5,Top,-1,6.08,5.68,Garen,23,Garen,20627,49.26,6.65,3.09,52.93,0.74,3.23,12640,32796,3.65,2.18,1893
186.2,Top,-7,7.09,6.05,Malzahar,42,Malzahar,21700,50.41,5.12,4.93,70.23,27.35,2.32,12199,17964,0.56,1.74,1859
196,Top,3,6.51,6.19,Cassiopeia,11,Cassiopeia,23462,53.25,6.56,6.95,92.7,3.81,3.08,12767,23372,0.7,2.62,6707
209.8,Top,1,6.49,6.37,Kayle,8,Kayle,20875,54.06,6.1,7.99,118.37,1.13,2.81,13158,25022,2.45,3.85,8226
176.5,Top,-2,6.76,6.21,MonkeyKing,12,Wukong,21262,52.73,7.42,4.59,149.46,0.57,3.46,12667,25230,3.42,2.29,2454
169.2,Top,-8,9.35,5.09,Malphite,36,Malphite,18634,49.51,4.88,2.97,49.5,3.04,2.49,11873,23536,5.05,1.23,2408
190.2,Top,-1,6.03,6.41,Irelia,3,Irelia,20190,51.42,7.58,3.1,77.56,45.94,3.5,12719,31474,7.81,1.98,8360
180.6,Top,-1,7.86,6.19,Gnar,30,Gnar,21881,48.72,5.62,3.52,48.07,1.21,2.67,12206,30069,8.55,1.98,2454
188.7,Top,1,5.46,6.59,Fiora,17,Fiora,20778,48.76,7.04,4.83,58.04,5.28,3.19,12687,31522,9.19,2.88,7822
174.7,Top,-6,5.4,7.3,Rengar,44,Rengar,20782,48.09,8.36,11.37,210.32,5.96,3.54,13192,26449,1.41,5.68,4207
183.3,Top,2,5.01,6.74,Jax,28,Jax,19470,51.07,6.94,6.02,92.55,3.85,3.06,12772,28300,6.3,3.61,3722
193.9,Top,-4,5.46,6.54,Riven,21,Riven,18947,50.57,7.26,6.61,140.96,1.41,3.3,12964,24381,10.47,4.37,2432
181.9,Top,0,6.07,6.63,Darius,7,Darius,19932,51.37,7.11,2.92,83.85,28.01,3.28,12435,34702,9.72,1.72,5192
211.4,Top,0,6.12,6.86,Graves,15,Graves,24121,50.23,6.65,8.3,42.05,3.15,2.99,13369,25928,1.84,4.02,4407
218.1,Top,0,8.38,6,Gangplank,1,Gangplank,25854,52.55,6.79,5.97,48.91,27.71,3.21,14622,25775,10.47,2.4,6651
175.3,Top,11,10.11,5.63,Nautilus,38,Nautilus,17379,50.42,4.09,2.53,69.43,4.57,1.99,11704,26245,2.39,1.15,2574
180.7,Top,0,7.52,5.97,Ekko,13,Ekko,20091,49.28,6.03,3.55,45.19,9.67,2.93,12350,31197,7.63,1.74,5608
211.1,Top,-3,5.97,7.39,Yasuo,6,Yasuo,21008,51.33,6.69,6.74,98.33,32.03,2.87,13262,25684,10.99,4.51,1593
44.3,Jungle,-4,11.3,5.17,Nunu,52,Nunu,12765,48,4.05,59.21,50.86,0.07,2.06,11605,39651,0.63,13.11,13986
40.2,Jungle,-2,9.44,5.59,Poppy,54,Poppy,15886,44.68,5.29,58.52,41.43,0.09,2.52,11468,30330,0.42,8.11,5896
59.1,Jungle,-4,7.56,5.4,Udyr,45,Udyr,13342,48.54,5.47,67.94,84.71,0.2,2.7,12468,32774,2.24,12.68,7624
60.6,Jungle,-8,8.3,7.69,Quinn,53,Quinn,21306,47.28,8.36,58.92,75.56,0.13,3.41,12870,26208,0.41,9.51,5785
41.5,Jungle,7,10.54,4.86,Skarner,21,Skarner,13454,54.85,5.12,67.5,56.61,0.33,2.64,12030,30341,2.72,11.57,7518
42,Jungle,-7,12.22,5.58,Rammus,38,Rammus,15773,51.21,4.53,57.85,63.53,0.55,2.17,11535,34540,2.4,6.51,7766
44.4,Jungle,-4,12.34,5.8,Maokai,51,Maokai,15826,50.23,4.59,57.1,37.82,0.21,2.17,11471,39395,0.56,6.99,12803
36.3,Jungle,2,9.41,5.59,Warwick,34,Warwick,15295,51.71,6.5,65.45,72.25,0.11,3.1,12092,38674,2.65,8.51,19167
64.2,Jungle,-6,7.71,5.37,Shyvana,20,Shyvana,18383,49.44,6.54,76.84,53.32,0.17,3.24,13252,34997,2.82,15.78,7828
