minionsKilled,role,overallPositionChange,assists,deaths,key,overallPosition,title,totalDamageDealtToChampions,winPercent,kills,neutralMinionsKilledTeamJungle,experience,banRate,largestKillingSpree,goldEarned,totalDamageTaken,playPercent,neutralMinionsKilledEnemyJungle,totalHeal
205.1,ADC,-1,7.95,6.37,Jinx,4,Jinx,23206,53.02,7.81,10.41,89.96,0.3,3.64,13623,19387,15.33,3.34,2818
187.2,ADC,0,9.14,5.78,Jhin,1,Jhin,25997,53.42,8.36,6.64,34.71,11.56,3.99,13313,17957,22.88,2.09,2960
197.5,ADC,1,9.03,6.37,Ashe,3,Ashe,22473,53.85,6.79,9.82,27.82,5.97,3.09,13278,18873,23.92,3.14,2863
65.5,Support,1,13.58,6.74,Sion,18,Sion,13328,53.42,2.9,1.38,124.25,0.07,1.05,10673,32208,0.51,0.83,16856
50.3,Support,-2,11.96,5.78,TahmKench,22,Tahm Kench,9276,46.79,2.14,0.71,33.19,0.99,0.82,9889,29725,2.06,0.53,6501
46.4,Support,0,15.59,5.24,Taric,17,Taric,5481,52.36,1.33,0.24,31.28,0.43,0.45,9679,23787,4.23,0.21,8860
42.4,Support,-4,13.89,5.37,Zilean,12,Zilean,13243,51.14,2.57,1.07,103.11,0.82,1.14,10675,18376,2.71,0.7,6939
41.3,Support,1,11.94,6.71,Zyra,6,Zyra,22115,52.54,3.61,1.72,99.55,1.29,1.48,11351,17838,4.61,1,1401
49.9,Support,2,11.34,6.85,Velkoz,16,Vel'Koz,23722,52.39,4.91,1.93,113.36,0.44,2.14,11745,17523,2.12,0.97,1433
38.1,Support,-1,10.99,7.66,Brand,15,Brand,22882,51.82,4.82,2.65,89.58,3,1.89,11419,19720,2.78,1.28,1648
44.3,Support,-5,14.5,5.71,Alistar,21,Alistar,7318,47.49,1.55,0.27,59.43,0.67,0.52,9624,28970,7.46,0.2,8313
20.1,Support,1,14.58,5.28,Lulu,20,Lulu,7155,47.49,1.44,0.29,69.03,0.65,0.5,9798,16974,7.17,0.22,1562
36.9,Support,-1,11.25,7.86,Annie,23,Annie,17057,47.21,4.3,1.48,94.78,4.38,1.6,10861,18201,1.32,0.65,1438
14.1,Support,2,16.14,5.05,Nami,4,Nami,8702,51.69,1.56,0.13,99.91,0.06,0.59,9945,17357,9.28,0.14,11905
21.7,Support,-1,14.37,6.09,Bard,11,Bard,11986,48.19,2.63,0.34,56.13,0.42,1.06,10286,20759,9.47,0.36,5167
45.4,Support,-1,12.93,7.03,Lux,25,Lux,18630,45.94,4.28,1.5,53.35,0.32,1.82,11267,15407,1.41,0.86,1261
30,Support,4,14.1,5.77,Karma,8,Karma,12572,49.64,2.15,0.8,31.19,1.26,0.85,10365,17453,7.53,0.58,2033
52,Support,4,13.54,6.21,Nautilus,19,Nautilus,9365,49.14,1.86,0.6,84.31,4.57,0.65,9866,24833,6.19,0.34,3078
45.9,Support,2,15.47,5.62,Braum,7,Braum,7756,49.96,1.38,0.15,61.2,3.2,0.45,9766,26518,12.69,0.19,3434
41.4,Support,-4,13.5,6.11,Blitzcrank,9,Blitzcrank,10228,51.98,2.33,0.24,78.97,5.56,0.89,9996,25316,11.48,0.31,3148
48.1,Support,0,14.59,6.33,Leona,13,Leona,7900,50.83,1.91,0.22,95.25,1.49,0.67,10007,26500,12.57,0.21,3248
29.5,Support,-1,14.73,6.29,Morgana,5,Morgana,13712,49.59,2.54,0.55,71.31,3.4,1,10727,19109,12.11,0.46,1353
34.1,Support,1,15.07,6.13,Thresh,14,Thresh,8083,48.67,1.93,0.19,126.49,0.92,0.7,9543,23753,26.65,0.2,2606
