deaths,experience,winPercent,playPercent,overallPosition,totalDamageDealtToChampions,kills,minionsKilled,neutralMinionsKilledTeamJungle,totalDamageTaken,largestKillingSpree,totalHeal,banRate,role,neutralMinionsKilledEnemyJungle,assists,key,title,overallPositionChange,goldEarned
5.03,53.21,51.3,2.23,8,13136,2.42,42.9,1.08,16792,1.08,3094,0,Support,0.67,12.72,Zilean,Zilean,6,10466
5.77,40.96,48.84,2.24,17,14413,2.38,35.6,1.02,16359,0.98,1491,0,Support,0.67,12.6,Karma,Karma,2,10419
7.11,42.44,51.04,2.2,18,21753,4.23,40.5,2.07,17956,1.74,1282,0,Support,0.99,10.42,Brand,Brand,0,11180
5.72,85.28,52.31,4.9,3,13343,2.63,20.6,0.42,17246,1.14,9632,0,Support,0.35,13.55,Sona,Sona,0,10176
5.43,15.12,44.11,2.67,23,8897,1.83,49.2,0.75,28004,0.7,6400,0,Support,0.57,10.52,TahmKench,Tahm Kench,-1,9504
4.42,27.51,50.87,0.95,15,7007,1.91,50.5,0.99,30075,0.81,10649,0,Support,0.4,13.06,Trundle,Trundle,-3,9713
4.76,75.75,51.14,6.87,2,8681,1.5,14.8,0.13,16109,0.57,10883,0,Support,0.13,14.72,Nami,Nami,0,9723
6.9,53.01,46.09,1.59,22,14783,3.64,34.9,1.17,16459,1.47,1090,0,Support,0.52,10.14,Annie,Annie,2,10266
5.65,41.7,48.38,8.66,9,11808,2.52,23,0.34,18946,1.06,4962,0,Support,0.34,13.1,Bard,Bard,-2,10071
4.97,39.81,52.28,9.58,14,3904,0.53,13.9,0.17,13392,0.09,24094,0,Support,0.11,13.89,Soraka,Soraka,-5,8994
5.78,70.45,50.48,10.16,16,8158,1.84,46.5,0.23,24865,0.67,3190,0,Support,0.23,13.26,Leona,Leona,-5,9709
5.73,45.22,49.62,14.35,5,12981,2.31,29.6,0.5,17571,0.93,1083,0,Support,0.43,13.45,Morgana,Morgana,1,10418
5.59,91.6,48.22,26.89,7,7905,1.81,36.1,0.18,22333,0.68,2632,0,Support,0.19,13.64,Thresh,Thresh,6,9227
5.78,17.92,48.05,1.87,21,10843,2.77,51.7,1.91,24159,1.18,3229,0,Support,0.79,10.41,Poppy,Poppy,-5,9886
5.31,39.67,46.5,4.97,20,8987,1.65,26.3,0.4,16388,0.63,1185,0,Support,0.3,13,Lulu,Lulu,-3,9799
5.59,49.2,52.64,13.2,6,9966,2.27,42.1,0.31,23676,0.91,2998,0,Support,0.39,12.49,Blitzcrank,Blitzcrank,2,9757
5.07,44.2,50.65,15.8,4,7793,1.35,43.3,0.15,24859,0.47,3362,0,Support,0.2,14,Braum,Braum,0,9437
4.03,76.27,54.46,23.66,1,4835,0.83,15.2,0.09,15014,0.24,5924,0,Support,0.11,14.38,Janna,Janna,0,9316
4.8,29.78,49.35,18.29,13,6549,1.35,42.6,0.25,27137,0.47,10341,0,Support,0.19,13.42,Alistar,Alistar,-8,9283
5.54,47.83,51.97,7.58,12,9998,1.95,53,0.65,23252,0.76,3156,0,Support,0.4,12.56,Nautilus,Nautilus,-2,9723
