deaths,experience,winPercent,playPercent,overallPosition,totalDamageDealtToChampions,kills,minionsKilled,neutralMinionsKilledTeamJungle,totalDamageTaken,largestKillingSpree,totalHeal,banRate,role,neutralMinionsKilledEnemyJungle,assists,key,title,overallPositionChange,goldEarned
5.29,48.52,52.08,2.37,16,18777,6.17,169.4,3.58,34989,3.15,3245,0,Top,2.54,7.07,Volibear,Volibear,11,12075
5.76,102.11,51.15,3.68,8,20094,6.83,176.4,4.82,24657,3.27,2306,0,Top,2.2,6.54,MonkeyKing,Wukong,4,12337
4.51,33.44,50.86,5.68,29,15908,4.04,178.5,2.75,27096,2.17,3227,0,Top,1.37,10.51,Shen,Shen,-11,11697
6.68,30.2,52.55,4.93,15,23332,7.54,185.9,4.76,21978,3.43,1984,0,Top,2.78,6.6,Quinn,Quinn,-9,12725
6.67,36.4,47.28,4.72,46,17819,5.98,185.4,6.71,26552,2.65,3206,0,Top,3.79,4.51,Jax,Jax,-6,12406
5.86,26.23,49.62,8.82,23,19626,6.27,186.8,4.35,31163,3.02,7945,0,Top,2.3,5.58,Fiora,Fiora,-18,12284
6,51.62,47.55,1.35,39,19611,6.01,181.7,4.07,27166,2.85,4858,0,Top,1.88,6.36,Ekko,Ekko,4,12203
6.27,39.6,50.31,9.89,19,19448,6.67,183.3,3.18,33356,3.15,5482,0,Top,1.82,5.58,Darius,Darius,-6,12188
6.27,49.33,53.99,7.2,10,22717,8.38,158.5,3.59,22861,3.84,1845,0,Top,1.78,6.43,Pantheon,Pantheon,-1,12301
7.03,106.61,49.47,3.96,13,19815,6.06,217.6,7.59,23340,2.64,1396,0,Top,4.76,5.96,Yasuo,Yasuo,9,13058
5.24,17.29,51.87,7.37,20,20355,5.46,175.7,3.44,26863,2.8,2930,0,Top,2.02,7.47,Poppy,Poppy,-6,12006
4.73,30.68,48.71,2.31,48,16042,3.65,180.1,2.9,19650,1.89,1907,0,Top,1.17,9.21,Lulu,Lulu,-15,11586
5.92,26.94,50.87,4.13,14,23033,6.37,209.6,7.8,23347,3.12,3053,0,Top,3.42,5.85,Graves,Graves,-6,12954
4.58,20.73,51.76,10.07,31,18348,4.67,175.8,2.9,23001,2.5,2650,0,Top,1.28,8.96,Malphite,Malphite,-20,11792
4.86,24.54,55.35,13.3,9,18608,4.22,192.7,2.49,25006,2.25,2755,0,Top,1.41,9.4,Nautilus,Nautilus,6,11901
5.22,51.96,51.26,0.35,15,16154,5.93,55.2,69.83,35145,3.06,22927,0,Jungle,12.03,7.09,Aatrox,Aatrox,18,12342
4.5,55.79,53.25,1.29,16,12293,4.61,40.9,66.18,28455,2.48,7137,0,Jungle,11.05,10.23,Skarner,Skarner,12,11718
5.56,41.31,44.36,1.2,38,15753,6.21,49.4,66.27,36118,3.1,11774,0,Jungle,8.5,8.86,Hecarim,Hecarim,-1,12056
4.58,35.33,50.62,0.83,33,12586,3.88,45.8,57.87,36711,2.08,13343,0,Jungle,12.55,10.93,Nunu,Nunu,3,11445
4.63,34.86,49.66,2.25,31,14641,4.51,47.1,64.39,35518,2.38,7374,0,Jungle,7.69,11.05,Sejuani,Sejuani,-8,11595
5.4,66.33,48.94,0.28,30,17259,4.84,69.6,54.07,37644,2.26,19460,0,Jungle,6.36,10.83,Sion,Sion,12,11871
5.39,47.32,51,2.1,14,14488,6.12,37.6,67.25,37891,2.99,19706,0,Jungle,9.52,8.44,Warwick,Warwick,4,11987
5.59,45.72,47.29,0.56,42,15408,4.43,48.8,56.24,37336,2.16,11873,0,Jungle,6.87,11.55,Maokai,Maokai,1,11313
5.59,138.99,50.13,1.72,22,17256,5.5,43.9,68.33,29425,2.78,16879,0,Jungle,7.42,9.27,FiddleSticks,Fiddlesticks,-5,11832
6.39,125.75,45.23,0.32,44,23226,6.37,65.6,61.93,22942,2.85,4933,0,Jungle,10.07,6.92,Teemo,Teemo,4,12479
4.59,55.21,46.74,3.11,27,13427,4.76,43,64.14,36458,2.56,14056,0,Jungle,11.53,9.42,RekSai,Rek'Sai,-3,11527
5.52,37.68,51.18,3.1,8,17025,7.43,54.9,73.34,31455,3.61,9629,0,Jungle,10.19,7.5,Nocturne,Nocturne,8,12825
5.87,37.84,45.04,1.89,43,14057,5.56,44.8,59.32,29884,2.64,6444,0,Jungle,6.97,11.45,JarvanIV,Jarvan IV,3,11623
5.67,91.07,48.64,3.46,12,19033,7.43,42.8,60.89,27325,3.63,6181,0,Jungle,9.19,8.99,Evelynn,Evelynn,2,12049
6.32,89.31,48.25,2.78,21,17204,8.03,48.5,69.43,28763,3.62,9568,0,Jungle,10.58,6.5,Rengar,Rengar,1,12652
5.7,90.78,48.97,0.54,20,15691,6.07,78.2,71.2,38196,2.78,14426,0,Jungle,14.17,5.89,Tryndamere,Tryndamere,18,13119
6.16,20.74,48.76,3.37,39,18542,6.67,47.3,58.32,27897,3.14,13097,0,Jungle,14.1,7.68,Kindred,Kindred,-10,11922
5.8,25.01,42.8,0.72,47,16295,5.74,55.4,63.45,36015,2.68,8327,0,Jungle,9.02,7.71,Olaf,Olaf,-2,11873
5.48,32.53,48.57,2.64,23,20770,6.16,51.9,70.88,27431,3.11,6129,0,Jungle,10.03,9.61,Rumble,Rumble,12,12287
5.91,39.11,46.89,3.75,18,18294,8.36,45.1,67.19,30619,3.93,10166,0,Jungle,11.13,6.29,Khazix,Kha'Zix,2,12559
5.5,53.02,50.96,0.51,19,17552,6.21,74.7,70.97,28149,2.96,11745,0,Jungle,10.07,7.44,Kayle,Kayle,25,12743
5.83,46.82,47.88,4.54,37,14947,6.16,41.8,67.02,26845,2.92,5825,0,Jungle,9.14,8.1,Vi,Vi,-5,11928
5.98,116.37,50.94,4.8,9,18616,8.09,51.6,53.11,25511,3.66,5871,0,Jungle,11.05,7.15,Shaco,Shaco,3,12441
4.4,35.31,48.16,4.82,28,15580,4.92,44.1,63.69,33479,2.72,27695,0,Jungle,7.52,11,Zac,Zac,-9,11517
5.25,9.02,47.68,0.98,41,18107,5.04,51.9,62.47,41325,2.56,14212,0,Jungle,9.49,9,DrMundo,Dr. Mundo,-11,11755
4.84,32.7,51.46,1,26,14908,5.58,47.3,59.37,38517,2.84,16342,0,Jungle,9.07,9.27,Trundle,Trundle,1,11789
5.49,80.48,50,2.64,13,17300,6.82,52.9,63.74,28298,3.29,7223,0,Jungle,7.55,8.14,MonkeyKing,Wukong,2,12170
5.96,53.86,49.68,3.09,11,19899,7.49,61.4,72.76,22724,3.58,4292,0,Jungle,10.26,7.65,Diana,Diana,0,12909
5.11,30.41,50.72,3.82,35,14901,4.26,43.7,57.25,33087,2.11,7734,0,Jungle,6.41,11.41,Rammus,Rammus,-10,11276
4.63,30.6,47.47,1.19,48,12674,4.41,51.3,56.91,30054,2.31,5732,0,Jungle,7.13,11.1,Shen,Shen,-1,11346
4.84,41.61,53.72,5.29,3,16052,6.66,45.9,58.68,38226,3.49,7293,0,Jungle,9.06,9.15,Volibear,Volibear,7,11974
5.12,35.33,53.09,7.72,7,16605,5.07,45,67.56,30390,2.58,6425,0,Jungle,8.14,11.11,Amumu,Amumu,-2,11881
6.58,23.02,51.41,1.53,34,20398,8,60.1,58.59,24714,3.57,5836,0,Jungle,9.11,8,Quinn,Quinn,-8,12543
6.15,24.52,51.75,3.71,25,16203,6.89,55.3,70.06,27635,3.08,6846,0,Jungle,11.96,6.1,Jax,Jax,-4,12708
6.28,20.66,51.46,7.72,24,16440,6.31,46.2,66.05,33340,2.82,14783,0,Jungle,11.29,6.73,XinZhao,Xin Zhao,-18,12131
4.49,35.02,54.42,8.59,6,13038,5.22,65.3,69.25,30612,2.86,7343,0,Jungle,13.63,8.11,Udyr,Udyr,-4,12522
5.36,37.9,50.93,4.88,5,17797,6.76,54.7,61.21,30870,3.37,8444,0,Jungle,8.06,8.93,Ekko,Ekko,2,12182
5.51,31.83,49.07,9.8,32,16994,6.3,41.5,60.62,24858,3.07,7127,0,Jungle,9.38,8.32,Elise,Elise,-19,11766
6.21,52.2,48.22,1.82,36,17944,8.19,55.8,61.28,25037,3.7,5168,0,Jungle,8.35,6.96,Fizz,Fizz,-5,12503
5.19,51.95,50.37,9.76,4,18229,6.65,46.8,68.83,29065,3.41,14379,0,Jungle,14.8,7.95,Nidalee,Nidalee,0,12364
6.04,39.95,49.47,2.25,40,17654,7.72,50.2,52.16,25326,3.6,5509,0,Jungle,6.18,7.72,Pantheon,Pantheon,-1,11874
4.71,27.57,55.11,10.05,1,18195,6.55,64.6,79.14,32571,3.45,7700,0,Jungle,16.89,6.89,Shyvana,Shyvana,0,13269
6.41,50.46,53.22,12.86,2,18140,8.57,61.6,75.73,29847,3.75,7864,0,Jungle,12.28,4.99,MasterYi,Master Yi,1,13257
5.77,71.78,45.96,20.48,29,14760,6.35,39.8,59.17,30061,3.05,6478,0,Jungle,9.83,8.97,LeeSin,Lee Sin,5,11676
5.19,17.57,47.68,2.24,45,15807,5.42,44.2,57.75,28719,2.73,5553,0,Jungle,8.41,9.26,Poppy,Poppy,-4,11529
4.63,21.11,48.94,1.46,46,15429,4.84,50.9,60.88,25606,2.56,5391,0,Jungle,5.97,10.27,Malphite,Malphite,-6,11575
5.32,26.19,50.89,4.76,10,20625,7,73,69.59,24986,3.44,6220,0,Jungle,10.6,7.49,Graves,Graves,-1,12862
