title,totalDamageTaken,minionsKilled,overallPositionChange,assists,banRate,winPercent,neutralMinionsKilledTeamJungle,role,experience,totalDamageDealtToChampions,neutralMinionsKilledEnemyJungle,goldEarned,kills,deaths,largestKillingSpree,playPercent,key,overallPosition,totalHeal
Kindred,28753,49.3,-2,8.11,48.61,52.7,61.71,Jungle,26.44,20707,15.05,12334,7.13,6.54,3.17,9.35,Kindred,4,13505
Jax,29380,55.3,17,6.73,7.41,51.13,66.61,Jungle,52.57,16835,11.17,12716,7.16,6.39,3.17,3.27,Jax,21,7212
Rengar,29931,50.2,-2,6.78,5.14,47.96,71.39,Jungle,95.01,18598,11.32,13071,8.61,6.8,3.69,8.73,Rengar,13,9631
Gragas,33446,40.4,1,11.08,1.73,50.92,64.5,Jungle,32.44,15700,9.76,11618,4.84,4.9,2.49,9.32,Gragas,12,11950
Kha'Zix,31738,44.3,2,6.75,5.56,51.35,68.64,Jungle,39.82,20108,12.63,12988,9.18,6.14,4.2,12.27,Khazix,2,10904
Graves,26449,68.4,-2,7.84,5.24,48.25,71.5,Jungle,36.67,19871,11.27,12610,6.42,5.32,3.14,9.98,Graves,8,7022
Ekko,34134,55.8,-22,9.31,44.78,45.54,58,Jungle,34.89,17931,7.16,12083,6.53,5.95,3.07,2.8,Ekko,32,9385
Fizz,27437,51.6,-5,7.66,45.73,48.65,61.27,Jungle,43.91,19363,8.43,12717,8.77,6.54,3.81,3.36,Fizz,25,5713
Lee Sin,31418,39.1,-2,9.48,2.54,47.05,60.37,Jungle,88.38,15396,10.21,11852,6.65,6.03,3.12,23.72,LeeSin,28,6922
Mordekaiser,18691,167.4,0,6.52,0.11,45.62,11.64,Middle,107.93,22215,3.74,12206,6.82,6.92,3.13,0.14,Mordekaiser,49,10463
Galio,29164,185.9,-4,11.04,0.17,52.82,6.99,Middle,23.42,24826,1.9,12516,5.94,5.34,3,0.79,Galio,26,9413
Heimerdinger,19674,186.6,0,7.44,0.1,49.45,4.46,Middle,181.95,25778,1.57,12091,4.88,6.06,2.25,0.51,Heimerdinger,46,1649
Karthus,24668,197.1,1,9.61,0.1,54.47,16.12,Middle,73.12,32204,2.73,13569,8.02,6.8,3.18,1.24,Karthus,10,5607
Aurelion Sol,26331,180.8,0,9.22,0.7,52.53,8.69,Middle,34.04,24644,2.39,12657,7.38,6.25,3.59,1.02,AurelionSol,18,5242
Cassiopeia,22692,185.2,13,7.41,0.31,52.67,11.46,Middle,55.1,24197,2.84,12767,7.28,6.13,3.4,1.59,Cassiopeia,25,6631
Ziggs,17642,200.8,4,8.39,0.04,50.95,10.88,Middle,25.58,29370,2.5,13234,6.78,5.94,3.21,2.04,Ziggs,19,2083
Syndra,18541,195,0,6.98,0.1,46.89,9.77,Middle,52.59,24347,2.44,12980,7.66,6.75,3.33,2.41,Syndra,41,1831
Quinn,20990,167.5,-7,7.05,0.31,50.96,10.05,Middle,67.67,23049,3.24,12647,8.96,6.64,4.07,0.31,Quinn,38,2032
Jayce,20895,185.6,-7,7.25,0.07,48.88,11.97,Middle,81.91,25003,3.3,12847,7.93,6.16,3.64,1.18,Jayce,35,1981
Corki,22044,188.9,4,7.53,0.28,47.3,12.29,Middle,41.37,25957,3.14,12972,7.56,6.23,3.52,0.7,Corki,36,2590
Xerath,16483,184.9,1,8.96,0.08,50.84,8.43,Middle,65.89,28218,1.69,12771,7.12,5.45,3.6,2.77,Xerath,14,2084
Cho'Gath,31817,185,9,6.83,0.37,51.97,11.71,Middle,86.43,22146,3.7,12915,7.59,5.34,3.91,0.93,Chogath,23,9632
Kassadin,25616,161,-1,6.98,0.19,50.04,7.01,Middle,36.85,23023,1.76,12384,8.6,5.86,4.16,2.65,Kassadin,34,4808
Akali,27553,145.1,1,6.07,0.69,49.61,6.99,Middle,93.57,21872,2.98,12645,10.44,7.59,4.23,1.63,Akali,42,5023
Talon,23585,170.1,-6,6.97,0.21,50.66,8.52,Middle,91.73,23152,2.45,12890,8.94,7.21,3.73,2.9,Talon,31,2084
Varus,17739,196.8,-2,8,0.05,48.24,10.64,Middle,25.08,26091,2.25,12622,6.3,5.8,3.06,1.78,Varus,39,2209
Malzahar,17312,176.4,6,8.46,36.31,55.48,8.38,Middle,45.12,24328,2.16,12471,6.29,5.38,3.06,2.33,Malzahar,11,2415
Kennen,21057,170,-1,8.22,0.42,52.19,3.14,Middle,42.69,24709,1.29,12430,7.62,6.22,3.55,1.05,Kennen,27,2349
