title,totalDamageTaken,minionsKilled,overallPositionChange,assists,banRate,winPercent,neutralMinionsKilledTeamJungle,role,experience,totalDamageDealtToChampions,neutralMinionsKilledEnemyJungle,goldEarned,kills,deaths,largestKillingSpree,playPercent,key,overallPosition,totalHeal
Udyr,33102,55.6,1,7.7,0.35,49.54,69.13,Jungle,90.81,14103,13.25,12649,5.84,5.42,2.89,2.79,Udyr,34,7990
Jarvan IV,31084,44.6,0,12.88,0.07,49.59,59.97,Jungle,41.31,15578,7.66,11967,5.9,6.03,2.74,2.09,JarvanIV,42,6786
Evelynn,28228,42.5,4,9.15,1.78,49.85,62.19,Jungle,121.15,19588,9.58,12218,7.9,5.84,3.77,4.32,Evelynn,14,6453
Nocturne,31232,56.1,-3,7.69,0.31,50.25,72.37,Jungle,48.73,18144,9.77,12981,8.02,6.01,3.7,4.08,Nocturne,20,9303
Diana,24482,59.6,6,8.31,2.39,49.6,72.18,Jungle,65.13,20771,10.44,13143,7.91,6.42,3.63,2.02,Diana,19,4642
Vi,28080,42.5,-8,8.74,0.27,50.55,68.14,Jungle,69.34,16290,9.9,12289,6.67,6.08,3.08,5.09,Vi,37,6061
Rek'Sai,38376,44.2,8,10.14,0.53,49.99,67.84,Jungle,69.05,14444,13.23,11815,5.05,4.59,2.74,5.63,RekSai,16,14723
Amumu,32139,43.5,0,11.71,1.06,53.28,68.39,Jungle,53.95,17148,8.38,12034,5.17,5.41,2.56,6.86,Amumu,7,6958
Karma,18579,169.9,-3,9.75,0.14,48.53,6.82,Middle,30.09,22992,1.72,12080,5.61,5.46,2.8,1.66,Karma,45,3036
Swain,34218,175.6,3,8.8,49.64,54.82,9.44,Middle,38.78,26643,2.37,12449,6.65,6.01,3.22,2.89,Swain,5,14257
Zilean,17760,42.1,2,13.48,0.25,52.7,1.14,Support,85.74,13158,0.72,10453,2.52,5.08,1.15,2.47,Zilean,11,3568
Taliyah,21314,52.4,0,11.57,1.3,41.36,1.76,Support,3.57,18028,0.79,11023,3.28,7.87,1.27,0.64,Taliyah,24,1777
Taric,23673,46.5,-3,15.41,1.91,52.83,0.27,Support,23.15,5479,0.23,9584,1.3,5.19,0.45,4.21,Taric,13,8856
Sona,18659,20.8,-4,14.42,0.06,51.86,0.48,Support,113.35,14016,0.35,10358,2.8,6.33,1.16,4.54,Sona,16,10311
Veigar,17333,49.5,2,10.62,1.34,49.14,2.48,Support,30.02,15297,1.05,11011,4.63,6.65,1.96,0.65,Veigar,19,1500
Vel'Koz,16681,47.5,3,10.83,0.83,51.68,1.83,Support,88.15,23105,0.91,11392,4.68,6.44,2.08,1.94,Velkoz,15,1416
Lulu,17237,25.3,0,13.84,0.15,47.45,0.43,Support,65.66,9157,0.32,9877,1.78,5.58,0.66,3.69,Lulu,20,1475
Nautilus,24516,52.4,-2,13.36,0.68,49.65,0.65,Support,64.19,9674,0.38,9799,1.93,6.09,0.71,3.35,Nautilus,21,3162
Brand,19473,38.5,3,10.92,5.59,51.44,2.59,Support,51.65,22779,1.16,11328,4.69,7.6,1.86,2.42,Brand,12,1678
Karma,17160,31.3,0,13.46,0.14,48.74,0.86,Support,35.24,13082,0.58,10195,2.18,5.76,0.86,4.87,Karma,17,1895
Annie,17737,35.7,1,11.06,3.65,47.44,1.35,Support,53.51,16567,0.6,10639,4.21,7.58,1.58,1.38,Annie,22,1474
Zyra,17427,40.2,0,11.86,2.81,53.73,1.72,Support,63.25,22274,0.94,11205,3.39,6.58,1.4,6.45,Zyra,2,1413
Nami,17079,14.5,-2,15.7,0.07,51.27,0.14,Support,94.97,8669,0.13,9777,1.56,4.98,0.59,8.96,Nami,5,11032
Lux,15042,45.4,0,12.71,0.37,46.36,1.5,Support,63.92,18205,0.79,11116,4.12,6.72,1.79,1.39,Lux,25,1277
Leona,26396,48.8,-2,14.3,0.55,51.34,0.26,Support,99.65,8535,0.23,9954,1.99,6.2,0.72,8.88,Leona,18,3296
Bard,20219,22,3,14.08,0.46,49.58,0.36,Support,52.92,11956,0.35,10136,2.64,5.89,1.1,11.87,Bard,6,5088
Trundle,30294,51.8,-2,13.08,3.51,51.16,0.59,Support,31.65,7203,0.34,9529,2.14,4.67,0.92,2.09,Trundle,7,10559
Janna,16574,14.6,3,15.58,0.4,53.09,0.09,Support,104.72,4952,0.11,9540,0.86,4.51,0.25,13.68,Janna,3,6314
Soraka,14534,15.5,3,14.9,4.46,51.96,0.22,Support,85.53,4919,0.14,9139,0.68,5.24,0.15,9.52,Soraka,4,21882
Braum,26010,45.7,-4,15.09,2.97,51.15,0.16,Support,58.3,7992,0.2,9633,1.41,5.44,0.48,16.97,Braum,8,3425
Thresh,23869,37.6,0,14.74,0.7,48.88,0.2,Support,123.15,8154,0.2,9431,1.96,6.07,0.72,29.41,Thresh,14,2735
Morgana,19076,30.1,2,14.65,2.57,50.29,0.57,Support,63.89,13916,0.46,10725,2.54,6.21,1.01,11.08,Morgana,9,1391
